ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
5247a9ef-7702-4d70-b7af-a863a64a3902,2002-04-06,,999-32-9254,,,,Eliane414,White454,,,,white,irish,F,Reading MA US,1059 Cyrus Points Berlin MA 01503 US
7ae34cf3-b987-485b-b69a-495bde51be3f,1957-09-09,,999-36-5363,S99970190,X79580504X,Mrs.,Ferne627,Kunze600,,Hegmann411,M,white,french_canadian,F,Lawrence MA US,786 Ena Rest Apt. 656 Ashland MA 01721 US
a10f88b5-db47-41bf-b1b6-31a7cb847ca4,1930-01-19,1984-08-04,999-77-8707,S99994571,false,Mrs.,Jaylon58,Block387,,Ankunding161,M,white,italian,F,Boston MA US,13489 Reinhold Isle Suite 193 Boston MA 02196 US
6bafe497-ffc5-4f96-943e-b38d243c5788,2014-05-21,,999-97-4920,,,,Amina595,Terry282,,,,black,west_indian,M,Athol MA US,895 Reichert Divide Apt. 185 Winchendon MA 01475 US
405f170e-f246-413b-be6c-02aa629ec275,1936-12-19,1999-08-07,999-47-5914,S99956564,false,Mr.,Amara485,Macejkovic214,,,S,hispanic,puerto_rican,M,Cohasset MA US,39116 Hilton Lodge Waltham MA 02453 US
7fb4b747-596b-40ba-b822-54469258c531,1968-11-24,,999-59-5075,S99984979,false,Mr.,Arjun622,Wilkinson865,,,S,white,english,M,Wayland MA US,68961 Janiya Crossing Apt. 601 Waltham MA 02453 US
cdec7cd8-6736-4bf1-b5d5-a6295ad8b07e,1974-05-14,,999-76-9602,S99950645,X95740032X,Mr.,Brielle4,Leuschke717,,,S,asian,chinese,M,Framingham MA US,58610 Oceane Light Suite 897 Gloucester MA 01930 US
626b4308-cbdb-4d66-baf1-e5278438f271,2008-10-05,,999-11-2040,,,,Reuben928,Kassulke108,,,,white,russian,M,Boston MA US,9731 Lemke Points Dudley MA 01571 US
0b0d8d63-706e-44c1-a06b-11cf3f69f21b,1930-06-29,2003-07-13,999-81-9658,S99930524,false,Mr.,Chloe702,Rau728,,,M,white,italian,M,Cambridge MA US,8202 Ramiro Flat Apt. 419 Walpole MA 02081 US
66c69218-2827-4888-9a77-8103afc0b9b4,1985-08-12,,999-64-3113,S99958222,false,Mr.,Kyra246,Tillman384,,,M,white,swedish,M,Andover MA US,24004 Lowe Corners Suite 832 Shirley MA 01464 US
f853849a-983c-4307-92e3-2a6097eafb72,1974-08-19,,999-70-2314,S99928689,X59072482X,Ms.,Garfield294,Weimann668,,,S,asian,asian_indian,F,Leominster MA US,37263 Rhea Landing Apt. 843 Boston MA 02215 US
f771afa8-bf85-4d1d-a1cf-ee1e3d8c12f6,1921-12-15,2000-12-14,999-52-2364,S99977543,false,Mr.,Cleora553,Dach121,,,M,white,english,M,Woburn MA US,4898 Wintheiser Center Suite 637 Peabody MA 01961 US
4e1521c0-d60c-4ee0-86b0-cd969c390b13,2016-10-09,,999-77-8663,,,,Callie16,Purdy466,,,,black,african,F,Acton MA US,100 Mohr Tunnel Apt. 464 Newton MA 02465 US
4edb8b8a-9240-4b01-b5e8-89186f31d33e,1920-02-25,2007-07-11,999-65-2803,S99933856,false,Mrs.,Margarette564,Olson566,,Walter261,M,white,french,F,Chatham MA US,4944 Hettie Alley Suite 405 Lexington MA 02421 US
8ccf5b9c-bbf7-4d02-9c16-8057a997b05a,1990-05-19,,999-72-9499,S99997137,false,Mrs.,Koby24,Mayert597,,Kozey538,M,white,french,F,West Springfield Town MA US,8540 Donnie Court Apt. 582 Chelsea MA 02150 US
b5bd10ea-a7cc-49bf-be9c-48e32635d12c,1998-11-02,,999-11-6961,S99993987,,Ms.,Demario793,Frami913,,,,black,dominican,F,New Bedford MA US,94611 Bernhard Hill Manchester-by-the-Sea MA 01944 US
